Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,NameASCII,PlayerId,MLBAMID
"Jose Siri","TBR",0.38512869,0.67117727,0.5033557,0.48267327,0.69959677,0.60222222,0.41331096,0.68080357,0.2,0.16536313,0.36536313,"Jose Siri",17452,642350
"Gary Sánchez","MIL",0.29799427,0.57173913,0.40673575,0.60096154,0.81749049,0.72186837,0.39723661,0.58571429,0.11312608,0.22452504,0.33765112,"Gary Sanchez",11442,596142
"Justyn-Henry Malloy","DET",0.24460432,0.68505747,0.43794147,0.44117647,0.77181208,0.66820276,0.43895055,0.59565217,0.14501511,0.19234642,0.33736153,"Justyn-Henry Malloy",29606,669234
"Michael A. Taylor","PIT",0.32416787,0.70450098,0.48585691,0.41071429,0.76111111,0.62671233,0.42512479,0.66333333,0.18076285,0.15257048,0.33333333,"Michael A. Taylor",11489,572191
"Mitch Garver","SEA",0.23724008,0.59577279,0.38677686,0.52988048,0.8248337,0.71937322,0.41707989,0.61860465,0.10853994,0.2214876,0.33002755,"Mitch Garver",15161,641598
"Nolan Gorman","STL",0.34657837,0.72278665,0.50909091,0.46496815,0.74297189,0.63546798,0.43197492,0.62686567,0.18534753,0.14464621,0.32999374,"Nolan Gorman",22263,669357
"Oneil Cruz","PIT",0.33473096,0.65578947,0.46283074,0.53235908,0.78170144,0.67332123,0.39899202,0.63772955,0.1509434,0.17819706,0.32914046,"Oneil Cruz",21711,665833
"James Wood","WSN",0.22911392,0.57980456,0.38247863,0.51933702,0.83707865,0.72998138,0.43732194,0.62202381,0.10327635,0.22507123,0.32834758,"James Wood",29518,695578
"Zack Gelof","OAK",0.32838428,0.74505495,0.51289538,0.45478723,0.76253687,0.65275142,0.44282238,0.65447898,0.17801556,0.14737354,0.32538911,"Zack Gelof",29766,680869
"Elly De La Cruz","CIN",0.29652227,0.62410072,0.42893493,0.49794239,0.8054755,0.67881356,0.40421665,0.61925287,0.13761801,0.18663762,0.32425563,"Elly De La Cruz",26668,682829
"Blake Perkins","MIL",0.27336683,0.59810555,0.41176471,0.60661765,0.84162896,0.75210084,0.42618224,0.64746544,0.10201729,0.2184438,0.3204611,"Blake Perkins",19921,663368
"Cavan Biggio","- - -",0.19521912,0.58057395,0.37801047,0.56122449,0.87072243,0.7867036,0.47434555,0.66071429,0.08054393,0.23849372,0.31903766,"Cavan Biggio",19252,624415
"Jake Rogers","DET",0.30640669,0.70185185,0.47615262,0.51363636,0.79683377,0.69282137,0.42925278,0.60534125,0.14614774,0.17235902,0.31850675,"Jake Rogers",19452,668670
"Michael Siani","STL",0.32492582,0.64006515,0.47515528,0.5890411,0.81424936,0.73366013,0.47670807,0.65568862,0.12645462,0.19162141,0.31807603,"Michael Siani",22557,672279
"Giancarlo Stanton","NYY",0.34375,0.6509434,0.46830601,0.55347594,0.78467909,0.68378063,0.40546448,0.583878,0.14784506,0.16966721,0.31751227,"Giancarlo Stanton",4949,519317
"Nolan Jones","COL",0.25945946,0.5828877,0.3989239,0.61979167,0.85015291,0.76493256,0.43120676,0.60606061,0.093702,0.2235023,0.3172043,"Nolan Jones",20529,666134
"Will Benson","CIN",0.26247289,0.73978202,0.47403382,0.40495868,0.74769797,0.64203822,0.44323671,0.60309278,0.1694813,0.14716526,0.31664656,"Will Benson",21853,666181
"Colton Cowser","BAL",0.27638573,0.66297787,0.44266551,0.5,0.82852807,0.71163245,0.43011683,0.58110517,0.12753999,0.18849978,0.31603978,"Colton Cowser",29591,681297
"Joey Gallo","WSN",0.24878049,0.72391304,0.45209302,0.45751634,0.71771772,0.63580247,0.42790698,0.58461538,0.16449814,0.15148699,0.31598513,"Joey Gallo",14128,608336
"Joey Loperfido","- - -",0.37244898,0.72389791,0.52109912,0.49771689,0.80128205,0.67608286,0.42296369,0.65648855,0.17131474,0.14442231,0.31573705,"Joey Loperfido",29630,694388
"Triston Casas","BOS",0.28136201,0.65588915,0.44500505,0.56687898,0.75704225,0.6893424,0.43693239,0.58024691,0.13810484,0.17741935,0.31552419,"Triston Casas",22514,671213
"Sean Murphy","ATL",0.30588235,0.64605544,0.45582707,0.57142857,0.81848185,0.7257732,0.44078947,0.66287879,0.12476548,0.19043152,0.315197,"Sean Murphy",19352,669221
"Tyler Fitzgerald","SFG",0.29372497,0.68846816,0.46616541,0.52272727,0.8,0.7016129,0.43684211,0.65102639,0.13899324,0.17580766,0.3148009,"Tyler Fitzgerald",26208,666149
"Michael Toglia","COL",0.29148753,0.69220608,0.44947917,0.45722714,0.80343511,0.66743917,0.39427083,0.60917031,0.14947917,0.16458333,0.3140625,"Michael Toglia",25845,669911
"Addison Barger","TOR",0.35416667,0.59366755,0.45983702,0.63529412,0.85777778,0.76202532,0.44121071,0.64,0.10930233,0.20465116,0.31395349,"Addison Barger",24598,680718
"Randy Arozarena","- - -",0.27299881,0.61727273,0.40951694,0.64551422,0.78497791,0.72887324,0.39653929,0.625,0.11095101,0.2028098,0.31376081,"Randy Arozarena",19290,668227
"José Caballero","TBR",0.37706342,0.67250674,0.49286846,0.5921659,0.84769539,0.72883173,0.39197042,0.66252588,0.13343882,0.17985232,0.31329114,"Jose Caballero",23401,676609
"Edouard Julien","MIN",0.22585227,0.64218456,0.4048583,0.49056604,0.82111437,0.716,0.42995951,0.61129568,0.11488673,0.19822006,0.3131068,"Edouard Julien",27534,666397
"Leo Jiménez","TOR",0.31368421,0.65053763,0.46162928,0.60402685,0.82231405,0.73913043,0.43919717,0.65238095,0.12042503,0.19244392,0.31286895,"Leo Jimenez",23782,677870
"Luis Robert Jr.","CHW",0.38917263,0.74920635,0.53014295,0.49081365,0.81355932,0.66940211,0.39154755,0.70352941,0.17526414,0.13735239,0.31261653,"Luis Robert Jr.",20043,673357
"Jarred Kelenic","ATL",0.33097166,0.71168831,0.49772469,0.50458716,0.79927007,0.68914286,0.43799772,0.65701559,0.15472127,0.15756542,0.31228669,"Jarred Kelenic",22558,672284
"Harold Ramírez","- - -",0.48628885,0.68787879,0.56214367,0.60526316,0.83259912,0.70993915,0.37628278,0.69918699,0.16287016,0.14920273,0.31207289,"Harold Ramirez",14387,623912
"Davis Schneider","TOR",0.25675676,0.68164313,0.42536933,0.55921053,0.80602637,0.71616766,0.39684157,0.57929515,0.12050633,0.19088608,0.31139241,"Davis Schneider",23565,676914
"Trent Grisham","NYY",0.15659955,0.59213759,0.36416862,0.52857143,0.85477178,0.78135048,0.4765808,0.61722488,0.07953216,0.23157895,0.31111111,"Trent Grisham",18564,663757
"Mark Vientos","NYM",0.35874878,0.69535519,0.4991453,0.53678474,0.78388998,0.6803653,0.41709402,0.64757709,0.1594533,0.15148064,0.31093394,"Mark Vientos",22184,668901
"Matt Wallner","MIN",0.28874388,0.75539568,0.4776699,0.48022599,0.72380952,0.63617886,0.40485437,0.61302682,0.17361785,0.13676043,0.31037827,"Matt Wallner",26466,670242
"Jon Singleton","HOU",0.25809822,0.61883408,0.40651907,0.53441296,0.82608696,0.71709531,0.41143911,0.5654321,0.11486486,0.1953317,0.31019656,"Jon Singleton",10441,572138
"Javier Báez","DET",0.44,0.67027027,0.52352941,0.60839161,0.84677419,0.71910112,0.3627451,0.66782007,0.14771623,0.16132167,0.3090379,"Javier Baez",12979,595879
"Jackson Holliday","BAL",0.30573248,0.65633803,0.45641646,0.52083333,0.81545064,0.70291777,0.42978208,0.59615385,0.13542926,0.17291415,0.30834341,"Jackson Holliday",31781,702616
"Tyler O'Neill","BOS",0.28870293,0.68441065,0.44606855,0.52173913,0.77777778,0.6779661,0.39768145,0.61310782,0.14357683,0.16423174,0.30780856,"Tyler O'Neill",15711,641933
"Ben Rortvedt","TBR",0.30534351,0.59194396,0.42593957,0.5875,0.85207101,0.74221453,0.42078113,0.56097561,0.10972018,0.19808542,0.3078056,"Ben Rortvedt",20287,666163
"Adam Duvall","ATL",0.36906377,0.66407767,0.49041534,0.59558824,0.8625731,0.74429967,0.41134185,0.63939394,0.12519936,0.18181818,0.30701754,"Adam Duvall",10950,594807
"Yasmani Grandal","PIT",0.30155642,0.52283105,0.40336134,0.74193548,0.86462882,0.81510417,0.46008403,0.57613169,0.07457983,0.23214286,0.30672269,"Yasmani Grandal",11368,518735
"Max Schuemann","OAK",0.24639076,0.6419598,0.41798365,0.53515625,0.84148728,0.73924381,0.43378747,0.60784314,0.10893246,0.19771242,0.30664488,"Max Schuemann",24488,680474
"Mitch Haniger","SEA",0.26785714,0.672,0.44027304,0.51481481,0.79563492,0.69767442,0.42662116,0.62174941,0.1331058,0.17292378,0.30602958,"Mitch Haniger",14274,571745
"Kyle Higashioka","SDP",0.31456954,0.64847162,0.45856874,0.6,0.85521886,0.75564682,0.43126177,0.60456274,0.11194732,0.19379116,0.30573848,"Kyle Higashioka",5517,543309
"Jonah Bride","MIA",0.25846154,0.53648915,0.38029386,0.76190476,0.89705882,0.84545455,0.43820225,0.65808824,0.05872193,0.24525043,0.30397237,"Jonah Bride",24703,681146
"Harrison Bader","NYM",0.36036961,0.61812779,0.4656952,0.63247863,0.89423077,0.77444589,0.40862174,0.61098398,0.10491207,0.19890843,0.3038205,"Harrison Bader",18030,664056
"Andrew McCutchen","PIT",0.2160596,0.67853403,0.42024965,0.55938697,0.80864198,0.73707371,0.44151641,0.62912621,0.11039261,0.19307159,0.3034642,"Andrew McCutchen",9847,457705
"Garrett Mitchell","MIL",0.22664016,0.70618557,0.43546577,0.42982456,0.7810219,0.67783505,0.43546577,0.61607143,0.14029181,0.1627385,0.3030303,"Garrett Mitchell",27555,669003
"Logan O'Hoppe","LAA",0.37873754,0.7403599,0.52068618,0.53289474,0.80729167,0.68604651,0.3925328,0.64176245,0.16322418,0.13904282,0.302267,"Logan O'Hoppe",24729,681351
"Tommy Pham","- - -",0.22105263,0.62414579,0.4050962,0.6017316,0.8649635,0.78690629,0.45657826,0.61924686,0.08632345,0.21580863,0.30213209,"Tommy Pham",2967,502054
"Johan Rojas","PHI",0.35657895,0.62741652,0.47253574,0.68634686,0.86554622,0.78821656,0.42814146,0.7107438,0.10007524,0.20165538,0.30173062,"Johan Rojas",24336,679032
"Kyle Schwarber","PHI",0.24014337,0.62648557,0.3997195,0.52238806,0.80216802,0.70350877,0.41304348,0.56213873,0.11838879,0.18318739,0.30157618,"Kyle Schwarber",16478,656941
"Willson Contreras","STL",0.33004926,0.73637961,0.4974656,0.44402985,0.81384248,0.66957787,0.41202028,0.60614525,0.16413594,0.1373825,0.30151844,"Willson Contreras",11609,575929
"Jake Burger","MIA",0.41306058,0.69839308,0.52403846,0.57142857,0.84778761,0.7146789,0.38894231,0.65803109,0.14930389,0.15218435,0.30148824,"Jake Burger",22275,669394
"Francisco Alvarez","NYM",0.32220796,0.6557971,0.46055597,0.56972112,0.84530387,0.7324633,0.41472577,0.62573099,0.12303076,0.17629407,0.29932483,"Francisco Alvarez",26121,682626
"Donovan Solano","SDP",0.33238636,0.64499121,0.47211312,0.62393162,0.89100817,0.78702163,0.44697565,0.63430421,0.10047096,0.19858713,0.29905808,"Donovan Solano",8623,456781
"Nelson Velázquez","KCR",0.29143898,0.73446328,0.46511628,0.45,0.81538462,0.67619048,0.39202658,0.6173913,0.15044248,0.14823009,0.29867257,"Nelson Velazquez",23359,676369
"Joey Bart","PIT",0.2977707,0.60843373,0.43516874,0.58823529,0.86138614,0.75714286,0.44227353,0.64539007,0.10512367,0.1934629,0.29858657,"Joey Bart",21524,663698
"Rhys Hoskins","MIL",0.28060413,0.61522843,0.42755239,0.66572238,0.83168317,0.77059437,0.439144,0.61508704,0.09803922,0.20053476,0.29857398,"Rhys Hoskins",16472,656555
"Paul Goldschmidt","STL",0.32308698,0.67199327,0.47571744,0.65587045,0.80600751,0.74864656,0.43745401,0.63914373,0.11948529,0.17867647,0.29816176,"Paul Goldschmidt",9218,502671
"Tim Anderson","MIA",0.41449814,0.71990172,0.54603175,0.60538117,0.79180887,0.71124031,0.43068783,0.63485477,0.15750529,0.14059197,0.29809725,"Tim Anderson",15172,641313
"Mark Canha","- - -",0.26569609,0.61157025,0.41623844,0.72945205,0.84555985,0.8037037,0.4352518,0.61255411,0.08162218,0.2161191,0.29774127,"Mark Canha",11445,592192
