player_name,player_id,pa,avg_bat_speed,hard_hit_pct,barrel_pct,bb_pct,contact_pct,avg,obp,slg,iso
Aaron Judge,592450,704,77.1,61.0,26.9,18.9,71.2,0.322,0.458,0.701,0.379
Bobby Witt Jr.,677951,709,74.7,48.3,14.3,8.0,80.8,0.332,0.389,0.588,0.256
Shohei Ohtani,660271,731,76.3,60.1,21.5,11.1,73.5,0.31,0.39,0.646,0.336
Juan Soto,665742,713,75.4,57.0,19.7,18.1,79.9,0.288,0.419,0.569,0.281
Gunnar Henderson,683002,719,76.3,53.9,11.2,10.8,77.8,0.281,0.364,0.529,0.248
Francisco Lindor,596019,689,72.4,47.4,13.6,8.1,78.6,0.273,0.344,0.5,0.227
Jarren Duran,680776,735,73.6,43.9,9.3,7.3,78.1,0.285,0.342,0.492,0.207
Elly De La Cruz,682829,696,75.2,45.7,12.7,9.9,67.9,0.259,0.339,0.471,0.212
José Ramírez,608070,682,71.6,39.7,8.6,7.9,86.4,0.279,0.335,0.537,0.258
Ketel Marte,606466,583,73.7,53.8,12.3,11.1,80.8,0.292,0.372,0.56,0.268
William Contreras,661388,679,74.7,49.5,10.0,11.5,74.1,0.281,0.365,0.466,0.185
Matt Chapman,656305,647,76.6,48.3,12.6,9.9,79.3,0.247,0.328,0.463,0.216
Cal Raleigh,663728,628,74.5,48.1,15.4,11.1,72.0,0.22,0.312,0.436,0.216
Jackson Merrill,701538,593,72.2,43.9,11.3,4.9,81.0,0.292,0.326,0.5,0.208
Vladimir Guerrero Jr.,665489,697,75.9,54.9,13.7,10.3,80.1,0.323,0.396,0.544,0.221
Yordan Alvarez,670541,635,76.5,49.7,14.5,10.9,81.3,0.308,0.392,0.567,0.259
Brent Rooker,667670,614,73.7,49.6,16.6,9.6,68.4,0.293,0.365,0.562,0.269
Bryce Harper,547180,631,74.0,48.2,10.6,12.0,75.1,0.285,0.373,0.525,0.24
Willy Adames,642715,688,73.6,40.7,12.0,10.8,73.9,0.251,0.331,0.462,0.211
Marcell Ozuna,542303,688,74.0,53.4,15.5,10.8,71.0,0.302,0.378,0.546,0.244
Corey Seager,608369,533,72.3,50.7,15.2,9.9,78.4,0.278,0.353,0.512,0.234
Jurickson Profar,595777,668,71.7,44.4,7.2,11.4,84.5,0.28,0.38,0.459,0.179
Corbin Carroll,682998,684,73.7,40.8,7.2,10.7,81.6,0.231,0.322,0.428,0.197
Patrick Bailey,672275,448,71.3,43.0,5.5,8.7,78.7,0.234,0.298,0.339,0.105
Mookie Betts,605141,516,69.0,39.5,6.0,11.8,86.1,0.289,0.372,0.491,0.202
Marcus Semien,543760,718,68.3,35.2,6.6,8.9,81.0,0.237,0.308,0.391,0.154
Rafael Devers,646240,601,72.5,52.6,13.0,11.1,71.9,0.272,0.354,0.516,0.244
Carlos Correa,621043,367,74.5,44.7,9.2,10.9,81.5,0.31,0.388,0.517,0.207
Dansby Swanson,621020,593,71.7,42.7,9.2,9.1,73.0,0.242,0.312,0.39,0.148
Kyle Tucker,663656,339,72.2,44.9,12.9,16.5,82.3,0.289,0.408,0.585,0.296
Steven Kwan,680757,540,64.4,23.7,2.6,9.8,92.8,0.292,0.368,0.425,0.133
Alex Bregman,608324,634,71.3,40.5,6.4,6.9,88.6,0.26,0.315,0.453,0.193
Jazz Chisholm Jr.,665862,621,71.9,41.1,9.7,8.5,73.0,0.256,0.324,0.436,0.18
Julio Rodríguez,677594,613,76.3,48.4,10.2,6.2,71.4,0.273,0.325,0.409,0.136
Freddie Freeman,518692,638,69.8,41.8,9.1,12.2,82.1,0.282,0.378,0.476,0.194
Riley Greene,682985,584,74.7,47.1,13.4,11.0,75.4,0.262,0.348,0.479,0.217
Jackson Chourio,694192,573,73.2,44.9,7.8,6.8,75.8,0.275,0.327,0.464,0.189
Nico Hoerner,663538,641,68.2,27.6,1.2,6.9,89.3,0.273,0.335,0.373,0.1
Trea Turner,607208,539,71.6,40.7,6.9,5.0,75.5,0.295,0.338,0.469,0.174
Jose Altuve,514888,682,69.4,31.2,6.5,6.9,79.6,0.295,0.35,0.439,0.145
Eugenio Suárez,553993,640,72.2,42.4,11.3,7.7,72.8,0.256,0.319,0.469,0.214
Colton Cowser,681297,561,73.8,46.1,13.6,9.3,71.2,0.242,0.321,0.447,0.204
Byron Buxton,621439,388,74.3,48.1,13.2,5.2,69.4,0.279,0.335,0.524,0.245
Ezequiel Tovar,678662,695,71.3,39.8,9.0,3.3,69.0,0.269,0.295,0.469,0.2
Masyn Winn,691026,637,70.2,32.7,3.7,6.4,83.2,0.267,0.314,0.416,0.148
Oneil Cruz,665833,599,78.5,54.9,15.7,8.5,67.3,0.259,0.324,0.449,0.19
